,inbred,rootbot_date,scored,source,earliest_scored_plate,condition,cassette,uid,image,replicate,root,length,vector_length,surface,volume,direction,diameter,root_order,root_ontology,parent_name,parent,insertion_position,insertion_angle,n_child,child_density,first_child,insertion_first_child,last_child,insertion_last_child,file,image_date,image_datetime,exp_group,min_datetime,delta_datetime,hours_elapsed
1,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,10, 4bda0d13-c81d-4903-8aa3-c58007263178,1.3001398,1.3001398,2.9116642,0.5190509,278.6783571,0.71191955,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
2,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,9, a609fd84-5401-444b-b3d9-5afb2dca2806,1.726452,1.726452,3.8722045,0.6921397,271.4896376,0.7133729,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
3,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,8, 20b05f1d-824c-4fcf-bf8f-0d95961f2db5,0,0,0,0,NA,0.30564418,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
4,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,7, f208b4a1-c95d-4e13-9e57-8de26fa27316,2.0416455,2.0416455,3.2267754,0.48537344,278.1465312,0.4925425,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
5,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,6, e69aa8ae-4db6-44b1-98d6-dd0b36a60371,0,0,0,0,NA,0.37368813,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
6,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,5, b99bf37d-c2e3-4624-83e8-df507d8434e8,0,0,0,0,NA,1.6645422,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
7,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,4, 6ec64cfc-acfa-4288-b0a0-8f06ca1c6bac,0,0,0,0,NA,0.23777604,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
8,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,3, 3329b8d7-1000-4ddb-bda2-350b2c9625af,2.5873363,2.5873363,3.5896952,0.39632583,270.3599517,0.44162616,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
9,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,1, b739e60b-c92e-4855-bd1b-a667a64f8bb9,2.4521086,2.4521086,4.2058806,0.60500133,315.7478428,0.5434206,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
10,R229,10/17/2018,TRUE,,6,ww,2,1,20181017-104022-plate_002,1, 45b1e3d6-4fc9-48b0-ab7d-1d12849e1835,3.6910536,3.6910536,13.018123,3.6827633,263.6598093,1.1209521,0, Primary root,-1,-1,-0.06793478,-57.29577951,0,0, null, null, null, null,20181017-10422-plate_002.csv,10/17/2018,10/17/2018 10:40,1,10/17/2018 10:40,0,6
11,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,10, e3008c62-a6f6-43e1-bb20-591f6637b79e,0,0.58916974,2.8787968,1.1193516,12.95626609,1.5553137,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
12,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,9, 9956e989-a935-450f-96cd-4fcd18a1c695,1.0877752,28.704433,139.09924,53.51207,292.4552584,1.5388169,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
13,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,8, d9bdf860-4209-4f3c-bd2c-2ef17842e64d,1.9712337,23.361494,9.512975,0.5257316,236.3179883,0.15639512,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
14,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,7, ac4c34b1-2bab-47b7-929b-f0d4c609375e,2.1212764,27.3577,50.311607,12.911186,246.5219084,0.54049104,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
15,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,6, 1399ba7d-a3c4-4f39-af03-e3ca87b3b205,4.437708,54.62594,36.696186,1.8938631,274.6250223,0.20643705,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
16,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,5, f1237de1-da26-4f05-bf8e-6a6a5ca85b51,2.3376646,33.78671,11.933358,0.5341391,298.1335772,0.1470296,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
17,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,4, ac7f772c-566f-4dbf-b82b-9fc143a474c2,0.27812833,3.9352825,1.1605717,0.027236931,253.8652907,0.09387419,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
18,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,3, ee869d3a-b611-480c-8e70-cc5b9d0daaef,3.5610754,45.210747,83.480606,12.142643,272.6126846,0.58181864,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
19,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,2, d99ae253-12ba-446a-a77b-341d0b200499,1.5445843,17.13831,41.632763,7.8150663,267.9638393,0.75085735,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
20,R229,10/17/2018,TRUE,,6,ww,2,1,20181019-103959-plate_002,1, d4cf5ac4-f061-421c-8d53-8401d77ad910,5.5326724,70.21003,63.745167,7.4938526,244.5716982,0.44734704,0, Primary root,-1,-1,-0.037537538,-57.29577951,0,0, null, null, null, null,20181019-103959-plate_002.csv,10/19/2018,10/19/2018 10:39,2,10/19/2018 10:39,0,6
21,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,12, 8023ff66-e6e3-4cf7-a55d-69f8664880d0,0.006380429,0.006380429,8.09E-05,8.17E-08,271.3772673,0.003665622,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
22,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,11, 1d812cb8-ffdc-4bb0-a8a1-bc06d802ab37,0,0,0,0,NA,0.003079412,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
23,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,10, f4615734-0ba2-45b1-9fba-2754fd4b8e9b,0.006298914,0.006298914,0.000143157,2.04E-07,271.6771946,0.005866048,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
24,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,9, 3bce247d-3770-4832-ade9-1d74ba7ef8e4,0.003500453,0.003500453,1.29E-05,3.80E-09,230.1195643,0.001173229,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
25,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,8, da4671f0-cbd0-4338-8227-cc55510c7ba9,0.003677334,0.003677334,4.01E-05,3.36E-08,270.1338724,0.003373231,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
26,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,7, 7f75b2ac-2e93-4061-8890-c6c6beef307f,0,0,0,0,NA,0.002199319,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
27,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,6, e0d64e92-9c42-4fc3-b1f8-8b17c23b228b,0,0,0,0,NA,0.001612957,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
28,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,5, bb0b9c77-0324-4c82-89b5-57ce0686201f,0.003944155,0.003944155,1.20E-05,3.26E-09,273.1060702,0.000953075,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
29,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,4, ba8269d3-4b63-45b2-96bb-67acd9c0cf53,0.005060887,0.005060887,1.29E-05,2.94E-09,270.3371935,0.00080659,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
30,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,3, 2c52eb19-dfd9-419f-8ee8-efe84fce30aa,0.003797006,0.003797006,0.000196044,2.79E-07,270.5725891,0.009090694,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
31,CI31A,10/30/2018,TRUE,2017MO,6,ww,2,3,20181101-143057-plate_002,2, 94a79778-f27b-46ce-8618-080d0622ce29,0.007381558,0.007381558,0.000237844,5.43E-07,272.0866508,0.009531391,0, Primary root,-1,-1,-0.000293255,-57.29577951,0,0, null, null, null, null,20181101-143057-plate_002.csv,11/1/2018,11/1/2018 14:30,4,11/1/2018 14:30,0,6
