"","inbred","rootbot_date","scored","source","earliest_scored_plate","condition","cassette","uid","image","replicate","root","length","vector_length","surface","volume","direction","diameter","root_order","root_ontology","parent_name","parent","insertion_position","insertion_angle","n_child","child_density","first_child","insertion_first_child","last_child","insertion_last_child","file","image_date","image_datetime","exp_group","min_datetime","delta_datetime","hours_elapsed"
"1","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","10"," 4bda0d13-c81d-4903-8aa3-c58007263178",1.3001398,1.3001398,2.9116642,0.5190509,278.678357080393,0.71191955,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"2","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","9"," a609fd84-5401-444b-b3d9-5afb2dca2806",1.726452,1.726452,3.8722045,0.6921397,271.489637620468,0.7133729,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"3","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","8"," 20b05f1d-824c-4fcf-bf8f-0d95961f2db5",0,0,0,0,NA,0.30564418,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"4","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","7"," f208b4a1-c95d-4e13-9e57-8de26fa27316",2.0416455,2.0416455,3.2267754,0.48537344,278.14653123086,0.4925425,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"5","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","6"," e69aa8ae-4db6-44b1-98d6-dd0b36a60371",0,0,0,0,NA,0.37368813,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"6","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","5"," b99bf37d-c2e3-4624-83e8-df507d8434e8",0,0,0,0,NA,1.6645422,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"7","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","4"," 6ec64cfc-acfa-4288-b0a0-8f06ca1c6bac",0,0,0,0,NA,0.23777604,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"8","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","3"," 3329b8d7-1000-4ddb-bda2-350b2c9625af",2.5873363,2.5873363,3.5896952,0.39632583,270.359951652505,0.44162616,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"9","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","1"," b739e60b-c92e-4855-bd1b-a667a64f8bb9",2.4521086,2.4521086,4.2058806,0.60500133,315.747842762804,0.5434206,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
"10","R229",2018-10-17,TRUE,"",6,"ww",2,1,"20181017-104022-plate_002","1"," 45b1e3d6-4fc9-48b0-ab7d-1d12849e1835",3.6910536,3.6910536,13.018123,3.6827633,263.659809284289,1.1209521,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181017-10422-plate_002.csv",2018-10-17,2018-10-17 10:40:22,1,2018-10-17 10:40:22,0,6
