"","inbred","condition","hours_elapsed","min","med","mean","max","sd","iqr"
"1","33-16","ws",6,0.25309834,0.658574835,0.734738489,1.3095958,0.37943709354521,0.661444435
"2","33-16","ws",36,1.7183551,2.1658609,2.1963815,2.7104406,0.360374456339708,0.5252181
"3","33-16","ww",6,0.16882895,0.44439648,0.593191546,1.3867823,0.422751347408916,0.500121215
"4","33-16","ww",36,1.5401095,3.2132461,3.34082405,5.8005724,1.40905282351263,1.870884325
"5","38-11","ws",6,0,0,0.138477712,0.5488135,0.198822554631694,0.23711601
"6","38-11","ws",36,0,0.52948464,0.524779141,1.2530032,0.506469515232642,0.9535775075
"7","38-11","ww",6,0,0,0.129607202,0.77575755,0.254150208327136,0.1366663275
"8","38-11","ww",36,0,0.85446683,1.303729562,3.903967,1.38443531873667,2.04095348
"9","4226","ws",6,0,0.4141988,0.471868201,1.1637491,0.271463229564067,0.237153075
"10","4226","ww",6,0.22164243,1.2898862,1.62932676888889,4.144294,1.31561915990794,1.8308450125
"11","796","ws",6,0,0.31020316,0.301203918,0.5568757,0.187456270132839,0.1772714
"12","796","ws",36,0,0.58614765,1.082221938,3.5411103,1.29226397913662,0.5157872275
"13","796","ww",6,0,0.34992724,0.337237883,0.7128301,0.239122346383031,0.2659252675
"14","796","ww",36,0,1.6854194,2.005540863,5.127756,1.80008977216036,1.4838363775
"15","A214N","ws",6,0,0.50011603,0.423147178,0.66981626,0.259876145753123,0.344382885
"16","A214N","ws",36,0,1.46461235,1.220259817,2.0359788,0.695023608783181,1.009751915
"17","A214N","ww",6,0.2682579,0.66639697,0.633811991,1.0404441,0.246281847263151,0.3745523025
"18","A214N","ww",36.0002777777778,0.5761158,2.07012275,2.14442917,3.4364028,0.878277390363152,1.032768375
"19","A239","ws",0,0,0.393650585,0.362718919,0.6201218,0.182238913654355,0.24401186
"20","A239","ws",29.9997222222222,0.3454694,1.01129285,1.139248002,2.5972323,0.660071390904773,0.5898146375
"21","A239","ww",0,0.20807754,0.587547725,0.56715786,0.9374579,0.220601354014491,0.40872697
"22","A239","ww",30,1.9214354,3.58824725,3.92265368,5.704694,1.25344022874194,1.714090375
"23","A441-5","ws",6,0,0.32747266,0.546734448947368,2.32209,0.733399597194587,0.706458835
"24","A441-5","ww",6,0,0.988179025,1.30830621515,4.246557,1.4317121055205,2.28708065
"25","A554","ws",6,0.46945512,0.76444255,0.820468173,1.4631673,0.279875044289788,0.2987952275
"26","A554","ws",33.9830555555556,1.0226843,2.71013545,2.65462059,3.5424078,0.658208725315352,0.309181225
"27","A554","ww",6,0.61859584,0.89316735,0.954041238,1.368783,0.267122717000183,0.38406427
"28","A554","ww",33.9963888888889,3.207706,5.285156,5.3566098,7.318148,1.25398440342238,0.90399655
"29","A556","ws",6,0,0.523374875,0.468608303,0.76950276,0.255191762015857,0.301621645
"30","A556","ws",30,1.0827659,1.54206705,1.57544212,2.1730652,0.36176905685967,0.389773925
"31","A556","ww",6,0.27096447,0.687542405,0.686731751,1.0716774,0.258791550749738,0.3473649525
"32","A556","ww",30,0.87273777,2.59496795,2.767411277,4.156387,1.04679322865572,1.385530325
"33","A6","ws",6,0,0,0.3617872485,2.777324,0.732293983145537,0.3240935925
"34","A6","ww",6,0,0.1030303,1.252706648,7.0756717,1.91851334996906,2.2914246
"35","A619","ws",0,0,0.3873121,0.342118454,0.49901074,0.148049050860018,0.1093371275
"36","A619","ws",30,1.2250128,1.58228955,1.51370259,1.8947638,0.22118842268683,0.33120865
"37","A619","ww",0,0,0.44481319,0.340663837,0.55436367,0.242464882183417,0.437177605
"38","A619","ww",30,0.8215329,2.9401585,2.780604,4.3196106,1.07903646600653,1.0180805
"39","A632","ws",6,0,0.3186731,0.345258804,0.6134109,0.198097883585187,0.2182772975
"40","A632","ws",36,0,1.03647205,1.00007816,2.021053,0.670566506808648,0.96327397
"41","A632","ww",6,0,0.606960745,0.526013164,0.7720199,0.250911778550866,0.33190138
"42","A632","ww",36.0002777777778,0.3565544,1.01671717,1.770203651,4.391122,1.49189897960941,2.272611875
"43","A634","ws",6,0,0,0,0,0,0
"44","A634","ws",35.9986111111111,0,0,0,0,0,0
"45","A634","ww",6,0,0,0,0,0,0
"46","A634","ww",36,0,0,0.221696385,1.3060299,0.443503000751646,0.1423678125
"47","A641","ww",6,0.8299579,1.4864133,1.477848873,2.0099592,0.3967738455567,0.548991525
"48","A641","ww",6.16583333333333,0.58467597,1.08238625,1.004156473,1.2770221,0.252095822774868,0.40429871
"49","A641","ww",30.1658333333333,0.5345022,1.73254535,1.86620162,3.278025,0.85495244543298,0.655294225
"50","A641","ww",36,2.139053,4.70679715,4.82691317,7.6208377,1.60660034411011,1.4823674
"51","A661","ws",0,0,0.19303032,0.188252067,0.6099695,0.198956748447254,0.28079861
"52","A661","ws",30.0002777777778,0.49325505,0.8392705,1.030251781,2.2503035,0.563276968417774,0.44379498
