"","inbred","cassette","condition","image","replicate","length"
"1","R229",2,"ww","20181017-104022-plate_002",10,1.3001398
"2","R229",2,"ww","20181017-104022-plate_002",9,1.726452
"3","R229",2,"ww","20181017-104022-plate_002",8,0
"4","R229",2,"ww","20181017-104022-plate_002",7,2.0416455
"5","R229",2,"ww","20181017-104022-plate_002",6,0
"6","R229",2,"ww","20181017-104022-plate_002",5,0
"7","R229",2,"ww","20181017-104022-plate_002",4,0
"8","R229",2,"ww","20181017-104022-plate_002",3,2.5873363
"9","R229",2,"ww","20181017-104022-plate_002",1,2.4521086
"10","R229",2,"ww","20181017-104022-plate_002",1,3.6910536
"11","CI31A",2,"ww","20181101-143057-plate_002",12,0.006380429
"12","CI31A",2,"ww","20181101-143057-plate_002",11,0
"13","CI31A",2,"ww","20181101-143057-plate_002",10,0.006298914
"14","CI31A",2,"ww","20181101-143057-plate_002",9,0.003500453
"15","CI31A",2,"ww","20181101-143057-plate_002",8,0.003677334
"16","CI31A",2,"ww","20181101-143057-plate_002",7,0
"17","CI31A",2,"ww","20181101-143057-plate_002",6,0
"18","CI31A",2,"ww","20181101-143057-plate_002",5,0.003944155
"19","CI31A",2,"ww","20181101-143057-plate_002",4,0.005060887
"20","CI31A",2,"ww","20181101-143057-plate_002",3,0.003797006
"21","CI31A",2,"ww","20181101-143057-plate_002",2,0.007381558
"22","CI31A",2,"ww","20181101-143057-plate_002",1,0.006598158
"23","CI31A",2,"ww","20181103-083057-plate_002",12,0.054666605
"24","CI31A",2,"ww","20181103-083057-plate_002",11,0.090262875
"25","CI31A",2,"ww","20181103-083057-plate_002",10,0.0438579
"26","CI31A",2,"ww","20181103-083057-plate_002",9,0.04972849
"27","CI31A",2,"ww","20181103-083057-plate_002",8,0.091484666
"28","CI31A",2,"ww","20181103-083057-plate_002",7,0.11251783
"29","CI31A",2,"ww","20181103-083057-plate_002",6,0.12085847
"30","CI31A",2,"ww","20181103-083057-plate_002",5,0.035094734
"31","CI31A",2,"ww","20181103-083057-plate_002",4,0.07372388
"32","CI31A",2,"ww","20181103-083057-plate_002",3,0.050855536
"33","CI31A",2,"ww","20181103-083057-plate_002",2,0.09643649
"34","CI31A",2,"ww","20181103-083057-plate_002",1,0.15046248
"35","CI31A",7,"ws","20181101-203557-plate_007",12,0
"36","CI31A",7,"ws","20181101-203557-plate_007",11,0.009823065
"37","CI31A",7,"ws","20181101-203557-plate_007",10,0
"38","CI31A",7,"ws","20181101-203557-plate_007",9,0.006881067
"39","CI31A",7,"ws","20181101-203557-plate_007",8,0
"40","CI31A",7,"ws","20181101-203557-plate_007",7,0.007823001
"41","CI31A",7,"ws","20181101-203557-plate_007",6,0.004906523
"42","CI31A",7,"ws","20181101-203557-plate_007",5,0.007803822
"43","CI31A",7,"ws","20181101-203557-plate_007",4,0.012387803
"44","CI31A",7,"ws","20181101-203557-plate_007",2,0
"45","CI31A",7,"ws","20181101-203557-plate_007",1,0.013770659
"46","CI31A",7,"ws","20181103-143557-plate_007",12,1.0248405
"47","CI31A",7,"ws","20181103-143557-plate_007",11,1.7480446
"48","CI31A",7,"ws","20181103-143557-plate_007",10,1.019452
"49","CI31A",7,"ws","20181103-143557-plate_007",9,1.461201
"50","CI31A",7,"ws","20181103-143557-plate_007",8,0.7653655
"51","CI31A",7,"ws","20181103-143557-plate_007",7,0.4961288
"52","CI31A",7,"ws","20181103-143557-plate_007",6,1.0382231
"53","CI31A",7,"ws","20181103-143557-plate_007",5,1.5654213
"54","CI31A",7,"ws","20181103-143557-plate_007",4,0.8580174
"55","CI31A",7,"ws","20181103-143557-plate_007",3,1.1407421
"56","CI31A",7,"ws","20181103-143557-plate_007",2,1.2638187
"57","CI31A",7,"ws","20181103-143557-plate_007",1,1.4956031
"58","CML61",6,"ww","20181101-140057-plate_006",12,0
"59","CML61",6,"ww","20181101-140057-plate_006",11,0.006847081
"60","CML61",6,"ww","20181101-140057-plate_006",10,0.008488089
"61","CML61",6,"ww","20181101-140057-plate_006",9,0
"62","CML61",6,"ww","20181101-140057-plate_006",8,0.007168503
"63","CML61",6,"ww","20181101-140057-plate_006",7,0.007899123
"64","CML61",6,"ww","20181101-140057-plate_006",6,0.022410303
"65","CML61",6,"ww","20181101-140057-plate_006",5,0.027874632
"66","CML61",6,"ww","20181101-140057-plate_006",4,0.009718814
"67","CML61",6,"ww","20181101-140057-plate_006",3,0.00919241
"68","CML61",6,"ww","20181101-140057-plate_006",2,0.007117223
"69","CML61",6,"ww","20181101-140057-plate_006",1,0.003770387
"70","CML61",6,"ww","20181103-140059-plate_006",12,0
"71","CML61",6,"ww","20181103-140059-plate_006",11,0
"72","CML61",6,"ww","20181103-140059-plate_006",10,0.007492125
"73","CML61",6,"ww","20181103-140059-plate_006",9,0.15688527
"74","CML61",6,"ww","20181103-140059-plate_006",8,0.26010397
"75","CML61",6,"ww","20181103-140059-plate_006",7,0.33876625
"76","CML61",6,"ww","20181103-140059-plate_006",6,0.43447146
"77","CML61",6,"ww","20181103-140059-plate_006",5,0.46653602
"78","CML61",6,"ww","20181103-140059-plate_006",4,0.17507236
"79","CML61",6,"ww","20181103-140059-plate_006",3,0.38413534
"80","CML61",6,"ww","20181103-140059-plate_006",2,0.23577486
"81","CML61",6,"ww","20181103-140059-plate_006",1,0.34677723
"82","CML61",8,"ws","20181101-200557-plate_008",12,0
"83","CML61",8,"ws","20181101-200557-plate_008",11,0
"84","CML61",8,"ws","20181103-020557-plate_008",12,0
"85","CML61",8,"ws","20181103-020557-plate_008",11,0
"86","CML61",8,"ws","20181103-020557-plate_008",10,2.673819
"87","CML61",8,"ws","20181103-020557-plate_008",9,2.350701
"88","CML61",8,"ws","20181103-020557-plate_008",8,1.8359277
"89","CML61",8,"ws","20181103-020557-plate_008",7,1.8806698
"90","CML61",8,"ws","20181103-020557-plate_008",6,0
"91","CML61",8,"ws","20181103-020557-plate_008",5,2.968794
"92","CML61",8,"ws","20181103-020557-plate_008",4,3.9595299
"93","CML61",8,"ws","20181103-020557-plate_008",3,2.6420417
"94","CML61",8,"ws","20181103-020557-plate_008",2,2.8552685
"95","CML61",8,"ws","20181103-020557-plate_008",1,2.9505801
"96","CI66",2,"ww","20181108-161059-plate_002",13,0.1204624
"97","CI66",2,"ww","20181108-161059-plate_002",12,0
"98","CI66",2,"ww","20181108-161059-plate_002",11,0.1070668
"99","CI66",2,"ww","20181108-161059-plate_002",11,0.14060526
"100","CI66",2,"ww","20181108-161059-plate_002",9,0.0870026
"101","CI66",2,"ww","20181108-161059-plate_002",8,2.3438134
"102","CI66",2,"ww","20181108-161059-plate_002",7,2.4314754
"103","CI66",2,"ww","20181108-161059-plate_002",6,3.9891832
"104","CI66",2,"ww","20181108-161059-plate_002",5,2.8484364
"105","CI66",2,"ww","20181108-161059-plate_002",4,3.6051605
"106","CI66",2,"ww","20181108-161059-plate_002",3,2.0658553
"107","CI66",2,"ww","20181108-161059-plate_002",2,3.0696874
