image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
20221215-234512-plate_042, Ki14seed#10, 82dcdb63-5ddb-427c-9b5e-2c2ad2fe170a, 1.3708289, 1.3377887, 0.032398768, 6.962008E-5, 273.45733315807905, 0.007828288, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#9, c85de95f-49a8-4619-b2e5-533d0d5137f9, 1.8808022, 1.8303431, 0.07508497, 2.544627E-4, 265.22291173622506, 0.011364223, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#8, 4e76a253-fc7f-4ec7-a0d1-8e16e7035891, 0.628674, 0.6286692, 0.077462114, 8.043576E-4, 289.2052358745139, 0.039900217, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#7, 8840c17d-0166-4e54-9b66-f98ca85e995b, 1.9703572, 1.9528697, 0.042211108, 7.936064E-5, 267.67260006318514, 0.0060611786, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#6, 74d040ad-df25-4008-a4ae-8dc90cd7633b, 4.0152354, 4.004112, 0.20779319, 0.0020506321, 283.3020399786553, 0.018786455, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#5, c1e1ccb6-271f-48c4-9227-c972af47ed8e, 1.9813502, 1.9807707, 0.2604862, 0.0028003287, 291.2483367005615, 0.037877876, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#4, 86ed7ed7-4c0b-4a1b-a4a8-a43df5b888de, 0.42261901, 0.34731025, 0.043826647, 4.076935E-4, 144.82690768922183, 0.038887206, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#3, 7f83dd22-60b6-429e-94f8-fdab601a1053, 0.0, 0.0, 0.0, 0.0, NaN, 0.059088532, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#2, fad95894-02a4-4515-be7b-fdddb832efd1, 1.1189972, 1.1173233, 0.060824674, 3.8844414E-4, 285.72672981325314, 0.023740621, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221215-234512-plate_042, Ki14seed#1, 8918cb9a-978c-460b-ae2c-298d04adc267, 1.3790523, 1.3611425, 0.039900783, 1.7023079E-4, 280.02262027132207, 0.014645176, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
