282 inbred,Rootbot date,scored,reason for not ,source - 200k packets from,WW cassette#,WS cassette#,Earliest_scored_plate,other comments,,"for this experiment, these seeds, stored in 2 metal boxes labeled ""282"" in Sears' GH, are surface sterilized, bubbled o/n in calcium sulfate, put on well watered soilless mix for 24h and then plated in well watered or water stress soil - pics not scored if less than 5 seeds WW and 5 WS grew for each inbred",,,,,
R229,10/17/2018,yes,,,2,4,6,,,,,,,,
Tx601, ,no,poor germination,,6,8,,,,,,,,,
P39, ,no,pic fail,,6,8,,,,,,,,,
Tzi8, ,no,pic fail,,2,7,,,,,,,,,
Ci31a,10/30/2018,yes,,2017MO,2,7,6,,,,,,,,
CML61,10/30/2018,yes,,2017MO,6,8,6,,,,,,,,
Mo45, ,no,"good germ, but roots hidden",2017MO,7,8,,,,,,,,,
Ci66,11/5/2018,yes,,2017MO,2,6,6,,,,,,,,
NC366,11/15/2018,yes,,2017MO,2,6,6,,,,,,,,
NC340, ,no,poor germination,2017MO,7,8,,,,,,,,,
NC230,11/21/2018,yes,,2017MO,2,6,6,,,,,,,,
DE2,11/21/2018,yes,,2017MO,7,8,6,,,,,,,,
CML103,11/28/2018,yes,,2017MO,7,8,6,,,,,,,,
CML277,11/28/2018,yes,,2017MO,2,6,6,,,,,,,,
Ci90C,12/6/2018,yes,,2017MO,2,6,6,,,,,,,,
R168,12/6/2018,no,,2017MO,7,8,6,,,,,,,,
NC342,12/19/2018,yes,,2017MO,2,6,6,,,,,,,,
N6,12/19/2018,yes,,2017MO,7,8,6,,,,,,,,
CML158Q,4/26/2019,yes,,2017MO,6,7,6,add 1 kernel B73 as 'control' to each plate for remainder of project,,,,,,,
T234,4/26/2019,yes,,2017MO,2,8,6,,,,,,,,
E2558W,5/2/2019,yes,,2017MO,2,6,6,,,,,,,,
I205,,no,poor germination,18FG490,8,9,,"Start recording temp and relative humidity for each picture session using the HOBOprov2 from Onset, save file w inbred names so can check log if there is issue with growth chamber being too hot (like in summer) as it is not cooled",,,,,,,
Ky226,,no,poor germination,RA17MO399,8,9,,"was taking pictures every 6hr for 48hr, use picture #2(6hr) and #6(36hr) because several roots grew to edge before 48hr",,,,,,,
Ci28A,5/9/2019,yes,,,2,6,6,"scoring comments for this pictures forward, since focal length same in all photos: in imageJ settings for all pictures use a standard length #pixels =330, use default setting of 1cm",,,,,,,
CML258,5/15/2019,yes,,RA17MO24/496,2,6,6,,,,,,,,
CML331,5/15/2019,yes,,18RA13,8,9,6,,,,,,,,
Ab28A,5/22/2019,yes,,RA17MO26/419,2,6,6,,,,,,,,
CML264,5/22/2019,yes,,18MX2129,8,9,6,,,,,,,,
A641,5/30/2019,yes,,RA17MO28,2,6,6,,,,,,,,
C49A,5/30/2019,yes,,RA17MO29,8,9,6,,,,,,,,
B76,6/5/2019,yes,,RA17MO455,3,6,6,,,,,,,,
W64A,6/5/2019,yes,,RA17MO382,8,2,6,,,,,,,,
Hp301,6/13/2019,yes,,RA17MO32/375,15,17,6,,,,,,,,
N192,6/13/2019,yes,,RA17MO33/322,10,12,6,,,,,,,,
CML328,6/13/2019,yes,,RA17MO34/482,11,19,6,,,,,,,,
NC356,6/13/2019,yes,,RA17MO35/441,13,18,6,,,,,,,,
Oh43,6/20/2019,yes,,RA17MO37,2,6,6,,,,,,,,
M162W,6/20/2019,yes,,RA17M36,12,16,6,,,,,,,,
Il101t,6/26/2019,yes,,RA17MO38/498,19,18,6,,,,,,,,
