"","inbred","metadata","df","match"
"1","4722",TRUE,FALSE,FALSE
"2","A654",TRUE,FALSE,FALSE
"3","A659",TRUE,FALSE,FALSE
"4","AB28A",TRUE,FALSE,FALSE
"5","B10",TRUE,FALSE,FALSE
"6","B103",TRUE,FALSE,FALSE
"7","B105",TRUE,FALSE,FALSE
"8","B14A",TRUE,FALSE,FALSE
"9","B46",TRUE,FALSE,FALSE
"10","B73HTRHM",TRUE,FALSE,FALSE
"11","B75",TRUE,FALSE,FALSE
"12","C103",TRUE,FALSE,FALSE
"13","CI21E",TRUE,FALSE,FALSE
"14","CI2AA",FALSE,TRUE,FALSE
"15","CI31AS",FALSE,TRUE,FALSE
"16","CI91B",TRUE,FALSE,FALSE
"17","CL21E",FALSE,TRUE,FALSE
"18","CM7",TRUE,FALSE,FALSE
"19","CML",FALSE,TRUE,FALSE
"20","CML10",TRUE,FALSE,FALSE
"21","CML238",TRUE,FALSE,FALSE
"22","CML247",TRUE,FALSE,FALSE
"23","CML264",TRUE,FALSE,FALSE
"24","CML311",TRUE,FALSE,FALSE
"25","CML333",TRUE,FALSE,FALSE
"26","CML341",TRUE,FALSE,FALSE
"27","CML38",TRUE,FALSE,FALSE
"28","CML45",TRUE,FALSE,FALSE
"29","CML69",TRUE,FALSE,FALSE
"30","CO255",TRUE,FALSE,FALSE
"31","DE811",TRUE,FALSE,FALSE
"32","F6",TRUE,FALSE,FALSE
"33","H99",TRUE,FALSE,FALSE
"34","HI27",TRUE,FALSE,FALSE
"35","I205",TRUE,FALSE,FALSE
"36","IA2132",TRUE,FALSE,FALSE
"37","IDS69",TRUE,FALSE,FALSE
"38","IL677A",TRUE,FALSE,FALSE
"39","K4",TRUE,FALSE,FALSE
"40","KI11",FALSE,TRUE,FALSE
"41","KI11 ",TRUE,FALSE,FALSE
"42","KI2021",TRUE,FALSE,FALSE
"43","KI3",TRUE,FALSE,FALSE
"44","KI43",TRUE,FALSE,FALSE
"45","M047",TRUE,FALSE,FALSE
"46","MO1W",TRUE,FALSE,FALSE
"47","MT42",TRUE,FALSE,FALSE
"48","N7A",TRUE,FALSE,FALSE
"49","NC232",TRUE,FALSE,FALSE
"50","NC238",TRUE,FALSE,FALSE
"51","NC290A",TRUE,FALSE,FALSE
"52","NC298",TRUE,FALSE,FALSE
"53","NC302",TRUE,FALSE,FALSE
"54","NC340",TRUE,FALSE,FALSE
"55","NC344",TRUE,FALSE,FALSE
"56","NC352",TRUE,FALSE,FALSE
"57","R1668",FALSE,TRUE,FALSE
"58","RS229",FALSE,TRUE,FALSE
"59","TX601",TRUE,FALSE,FALSE
"60","TZI8",TRUE,FALSE,FALSE
"61","U267Y",TRUE,FALSE,FALSE
"62","VA22",TRUE,FALSE,FALSE
"63","W153R",TRUE,FALSE,FALSE
"64","W182B",TRUE,FALSE,FALSE
"65","33-16",TRUE,TRUE,TRUE
"66","38-11",TRUE,TRUE,TRUE
"67","4226",TRUE,TRUE,TRUE
"68","796",TRUE,TRUE,TRUE
"69","A214N",TRUE,TRUE,TRUE
"70","A239",TRUE,TRUE,TRUE
"71","A441-5",TRUE,TRUE,TRUE
"72","A554",TRUE,TRUE,TRUE
"73","A556",TRUE,TRUE,TRUE
"74","A6",TRUE,TRUE,TRUE
"75","A619",TRUE,TRUE,TRUE
"76","A632",TRUE,TRUE,TRUE
"77","A634",TRUE,TRUE,TRUE
"78","A635",TRUE,TRUE,TRUE
"79","A641",TRUE,TRUE,TRUE
"80","A661",TRUE,TRUE,TRUE
"81","A679",TRUE,TRUE,TRUE
"82","A680",TRUE,TRUE,TRUE
"83","A682",TRUE,TRUE,TRUE
"84","B104",TRUE,TRUE,TRUE
"85","B115",TRUE,TRUE,TRUE
"86","B164",TRUE,TRUE,TRUE
"87","B2",TRUE,TRUE,TRUE
"88","B37",TRUE,TRUE,TRUE
"89","B52",TRUE,TRUE,TRUE
"90","B57",TRUE,TRUE,TRUE
"91","B64",TRUE,TRUE,TRUE
"92","B68",TRUE,TRUE,TRUE
"93","B73",TRUE,TRUE,TRUE
"94","B76",TRUE,TRUE,TRUE
"95","B77",TRUE,TRUE,TRUE
"96","B79",TRUE,TRUE,TRUE
"97","B84",TRUE,TRUE,TRUE
"98","B97",TRUE,TRUE,TRUE
"99","C123",TRUE,TRUE,TRUE
"100","C49A",TRUE,TRUE,TRUE
"101","CH701-30",TRUE,TRUE,TRUE
"102","CH9",TRUE,TRUE,TRUE
"103","CI.7",TRUE,TRUE,TRUE
"104","CI187-2",TRUE,TRUE,TRUE
"105","CI28A",TRUE,TRUE,TRUE
"106","CI31A",TRUE,TRUE,TRUE
"107","CI64",TRUE,TRUE,TRUE
"108","CI66",TRUE,TRUE,TRUE
"109","CI90C",TRUE,TRUE,TRUE
"110","CM105",TRUE,TRUE,TRUE
"111","CM174",TRUE,TRUE,TRUE
"112","CM37",TRUE,TRUE,TRUE
"113","CML103",TRUE,TRUE,TRUE
"114","CML108",TRUE,TRUE,TRUE
"115","CML11",TRUE,TRUE,TRUE
"116","CML14",TRUE,TRUE,TRUE
"117","CML154Q",TRUE,TRUE,TRUE
"118","CML157Q",TRUE,TRUE,TRUE
"119","CML158Q",TRUE,TRUE,TRUE
"120","CML218",TRUE,TRUE,TRUE
"121","CML220",TRUE,TRUE,TRUE
"122","CML228",TRUE,TRUE,TRUE
"123","CML254",TRUE,TRUE,TRUE
"124","CML258",TRUE,TRUE,TRUE
"125","CML261",TRUE,TRUE,TRUE
"126","CML277",TRUE,TRUE,TRUE
"127","CML281",TRUE,TRUE,TRUE
"128","CML287",TRUE,TRUE,TRUE
"129","CML314",TRUE,TRUE,TRUE
"130","CML321",TRUE,TRUE,TRUE
