"","inbred","rootbot_date","scored","source","earliest_scored_plate","condition","cassette","uid","in_meta","image","root","vector_length","surface","volume","direction","diameter","root_order","root_ontology","parent_name","parent","insertion_position","insertion_angle","n_child","child_density","first_child","insertion_first_child","last_child","insertion_last_child","file","in_df"
"1","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," f4977c2d-db4c-40dc-aaef-a402657918bd",0,0,0,NA,0.004574499,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"2","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," 59a4d837-3235-4c03-b019-783271e5c641",0,0,0,NA,0.018771073,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"3","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," c4cc6f98-84a1-4955-a02d-5cf00a34f236",0,0,0,NA,0.00615012,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"4","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," aafd62c6-e72c-407a-a3d4-b58904d74120",0.012052358,0.0005872619,2.0478933e-06,333.438715732054,0.014458393,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"5","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," fe8b03e0-b0b9-4e28-885f-b4c4d0e65ed9",0.010878702,0.0007381543,3.0133003e-06,112.471222420983,0.016202375,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"6","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," 20fd8d5c-5d02-4f2d-bf46-8ce40b302553",0,0,0,NA,0.014348299,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"7","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," bcb18752-708e-4411-ad38-e89f6f843dd6",0,0,0,NA,0.006466846,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"8","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," 0162ac6a-4572-471f-ba2e-ca3951ede16b",0,0,0,NA,0.0023660967,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"9","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," bc1b03e8-873b-4d12-81ab-bf6a9a60f8dc",0.02783456,0.0005255488,8.1602536e-07,273.334389753019,0.0059938165,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"10","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181017-104556-plate_004"," bc10086a-941f-470a-9887-b4859e26e25d",0.018833494,0.0001265771,8.329938e-08,278.690569458629,0.0021294584,0," Primary root","-1","-1",-0.0003154574,-57.2957795130823,0,0," null"," null"," null"," null","20181017-104556-plate_004.csv",TRUE
"11","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," 522d7b84-51ad-4e93-a7d3-180ab6dc7453",0.18579501,0.0008838294,6.876641e-07,267.836715848562,0.0022521894,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"12","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," 0b451f72-6253-44da-9eb3-f135cf34d1a0",0.12838311,0.00015015746,1.4149152e-08,282.736554956892,0.00035030663,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"13","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," 282b56b8-3353-415d-a922-f1d7445417d7",0.26519102,0.0013232791,1.5922496e-06,251.921500818219,0.0024623703,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"14","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," 3dcc0c05-fb04-4991-aa4f-b53674556f3b",0.30120015,0.0059588277,2.1064378e-05,290.687578169703,0.006785368,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"15","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," b5fd1e04-ec47-4643-9da4-1425eb9fe2d5",0.39876485,0.0009310628,1.931733e-07,287.689808142985,0.00067565666,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"16","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," 02910bfc-d33b-434d-8b06-c08d536e3cd8",0.16842617,0.0011123904,5.9361656e-07,285.989828700082,0.0021023075,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"17","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," cafc28e7-3f48-4ffc-90a0-3a1d0978f8ee",0.22619246,0.00086684973,2.8305217e-07,226.345229093702,0.0010209866,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"18","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," cffca10f-d946-4400-8d2e-5de6590dd5d2",0.3726623,0.0011227508,2.5680987e-07,304.409592136799,0.0009223456,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"19","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," ac04e3e0-ffd3-400e-b6ea-beb46d0dbd6d",0.31141642,0.0013271077,4.5834116e-07,303.025058150524,0.0010510613,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,0,0," null"," null"," null"," null","20181019-144457-plate_004.csv",TRUE
"20","RS229",NA,NA,NA,NA,NA,4,NA,FALSE,"20181019-144457-plate_004"," 2522d595-2938-451f-9d0a-4f60bcbc4604",0.24247468,0.0011830996,6.136355e-07,300.075044806482,0.0018394225,0," Primary root"," -1"," -1",-0.00030030028,-57.2957795130823,5,0," 133bbe9f-85c7-4d76-bc6a-823d3c7fac80"," 0.0"," 133bbe9f-85c7-4d76-bc6a-823d3c7fac80"," 0.0","20181019-144457-plate_004.csv",TRUE
"21","CML",NA,NA,NA,NA,NA,8,NA,FALSE,"20181101-200557-plate_008"," bebd4e27-f80d-46a0-8a42-65304b0f4338",0,0,0,NA,0.23768586,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181101-200557-plate_008.csv",TRUE
"22","CI31AS",NA,NA,NA,NA,NA,7,NA,FALSE,"20181101-203557-plate_007"," 59f58521-7a50-41ae-a420-44df8fd34a83",0.0069378456,3.895813e-05,1.7561717e-08,271.4658412414,0.0017854563,0," Primary root","-1","-1",-0.00032467532,-57.2957795130823,0,0," null"," null"," null"," null","20181101-203557-plate_007.csv",TRUE
"23","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 34263cae-b4e0-4394-9b7d-bdfe09e93738",0,0,0,NA,1.8677087,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"24","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," af2c18d4-bea6-4847-8f96-1666a30c27f6",0,0,0,NA,0.91735435,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"25","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 31151e98-8ef2-447e-9c9a-d3dc3c000888",0,0,0,NA,0.7133387,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"26","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 1b671470-21ec-4cd5-abc4-58cb75f0cf0e",0.6255357,4.728717,1.1185125,275.669631430246,1.4269569,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"27","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," c0f44026-6ca1-4385-8339-93d20a76b160",0,0,0,NA,1.6985028,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"28","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 2ca1d82a-3cec-4072-a415-f9a5b3615630",2.5877626,6.5618343,1.3979559,332.612973182156,0.7981029,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"29","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," b055cb6a-4e3f-4891-b529-2e299667de2f",1.5512217,1.6557436,0.14104067,292.048425059937,0.339676,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"30","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 9e4755e6-34c1-447e-97f9-5a9e085e6fb2",2.0687964,2.6497016,0.2706162,278.025691524064,0.40763435,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"31","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 09b45f5b-ec58-44fd-8cc0-4e6cc2eafc3a",2.677865,1.8605624,0.11891847,283.514103692006,0.22080009,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"32","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 7e61cd5b-af65-4a30-a682-4a4c872faf57",3.0149796,25.970238,15.871871,286.427343297556,2.4117794,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"33","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," a4b6f2bb-c1ca-4101-a721-456bdb748bf9",3.654633,11.022787,3.2228453,288.840667697375,0.9341757,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"34","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 506813c2-2750-4872-893c-6777dcb40d33",6.574204,10.525775,1.3723071,267.909580306628,0.5095282,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"35","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 05287353-6f80-468a-b7d1-b4d5f589e250",5.782684,8.64051,1.0427961,278.937303212207,0.47554612,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"36","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," cbd3cbed-a25a-47fd-a3c9-d3a77c7f175a",0.112179115,0.008245186,4.909723e-05,297.213277506517,0.02336419,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
